,nome/razao social,contato,localidade,site
0,Construtora S. Canton Engenharia e Construções Ltda.Por que esse anúncio?,(19) 3016-6126,Indaiatuba - SP,/aclk?sa=l&ai=DChcSEwiEjpjH0PbsAhWCC5EKHZRTCHoYABABGgJjZQ&sig=AOD64_0lOYsJElfeE9WgK_sCmVaE2GRT0g&rct=j&q=&ctype=99&ved=0ahUKEwjl0I_H0PbsAhUOI7kGHWpNAdkQhKwBCD4&adurl=
1,Construformas - Reforma - Construção e Manutenção preventivaPor que esse anúncio?,(11) 5679-7504,São Paulo - SP,/aclk?sa=l&ai=DChcSEwiEjpjH0PbsAhWCC5EKHZRTCHoYABAAGgJjZQ&sig=AOD64_3afjNccEpxQxObfjoldL3FGc0zGw&rct=j&q=&ctype=99&ved=0ahUKEwjl0I_H0PbsAhUOI7kGHWpNAdkQhKwBCFU&adurl=
2,CONSTRUTORA ASC CHAVES,(11) 94716-5019,São Paulo - SP,http://ascchaves.com.br/
3,Construtora Gomes Lourenço,(11) 5527-6796,São Paulo - SP,http://www.gomeslourenco.com.br/
4,Safo Construtora,(12) 3861-2772,SP,Não tem
5,Tani Obras de Engenharia,(11) 3916-1111,São Paulo - SP,Não tem
6,Souza Lima Engenharia,(11) 3915-6413,São Paulo - SP,http://www.souzalimaengenharia.com.br/
7,Gesso Custodio,(11) 3916-1661,São Paulo - SP,Não tem
8,ULTRAFERRO,(11) 3911-6873,São Paulo - SP,http://www.ultraferro.com.br/
9,Engelux Comercial e Construtora,(11) 3686-3057,Osasco - SP,http://www.engelux.com.br/
10,Construtora Gomes Lourenço,(11) 3919-2510,São Paulo - SP,http://www.gomeslourenco.com.br/
11,Construtora Hudson,(11) 4157-3001,Santana de Parnaíba - SP,Não tem
12,Engepassos Construtora,(11) 3863-9751,São Paulo - SP,Não tem
13,Construtora Anastácio S/A,(11) 3696-2244,Osasco - SP,http://www.anastacio.com.br/
14,TM CORP Construtora,(11) 5081-4569,Cajamar - SP,http://www.tmcorp.com.br/
15,Construtora Gomes Lourenço,(11) 3686-5856,Osasco - SP,http://www.gomeslourenco.com.br/
16,Borges Gabioes Construtora,(11) 4448-1045,Cajamar - SP,Não tem
17,Castelo Construtora,,Barueri - SP,Não tem
18,Construtora Barros Barros Ltdm,(11) 3442-8911,São Paulo - SP,Não tem
19,JH1 CONSTRUTORA & INCORPORADORA ESTILOS,(11) 2777-7240,Cajamar - SP,https://construtoraestilos.business.site/?utm_source=gmb&utm_medium=referral
20,JBCA CONSTRUTORA E IMCORPORADORA EIRELLI LTDA,(11) 95687-1213,Cajamar - SP,Não tem
21,Walter Torre Junior Construtora,(11) 3601-2670,Osasco - SP,Não tem
