,nome/razao social,contato,localidade,site
0,Construformas - Reforma - Construção e Manutenção preventivaPor que esse anúncio?,(11) 5679-7504,São Paulo - SP,/aclk?sa=l&ai=DChcSEwj92KGe0_bsAhVMBJEKHdHTC0IYABAAGgJjZQ&sig=AOD64_2x8dISEbtGDo2fKIC-DkxDcW4bHA&rct=j&q=&ctype=99&ved=0ahUKEwjA15ie0_bsAhXOIbkGHWDxBloQhKwBCD4&adurl=
1,GlobaltecPor que esse anúncio?,(62) 3587-1670,São Paulo - SP,/aclk?sa=l&ai=DChcSEwj92KGe0_bsAhVMBJEKHdHTC0IYABABGgJjZQ&sig=AOD64_3w2rxKeGOG6VkzohZo2QLtrbLDmw&rct=j&q=&ctype=99&ved=0ahUKEwjA15ie0_bsAhXOIbkGHWDxBloQhKwBCFI&adurl=
2,Empreiteira Gesso Fortaleza - São Paulo,(11) 96279-1124,São Paulo - SP,https://praia.online/anuncio/empreiteira-gesso-fortaleza/
3,Souza Lima Engenharia,(11) 3915-6413,São Paulo - SP,http://www.souzalimaengenharia.com.br/
4,M&V SERVIÇOS E REFORMAS,(11) 98063-6593,São Paulo - SP,Não tem
5,gesso L.A Reis,(11) 99439-4620,São Paulo - SP,http://gessoreis.net/
6,Avb Empreiteira de Mão de Obra Ltda.,(11) 3915-3612,São Paulo - SP,http://avbempreiteira.negocio.site/
7,Empreiteira Dek Mania,(11) 94002-1733,São Paulo - SP,https://dek-gesso-mania-decoracoes.negocio.site/
8,Empreiteira JRP,(11) 97346-2872,São Paulo - SP,Não tem
9,Alffa Empreiteira,(11) 3941-6915,São Paulo - SP,Não tem
10,JDM REFORMA E CONSTRUÇÃO,Fechado ⋅ Abre ter. às 08:00,(44) 99992-9262,https://jdm-reforma-e-construcao.negocio.site/
11,Compacta Empreiteira de Obras,(11) 3686-5972,Osasco - SP,http://www.empreiteiracompacta.com.br/
12,Damolive Comércio e Empreiteira de Mão-de-Obra,(11) 3462-3397,São Paulo - SP,Não tem
13,Mg Empreiteira De Mao De Obra,,Cajamar - SP,Não tem
14,Empreiteira Laris,,São Paulo - SP,Não tem
15,Empreiteira Camargo Silva,(11) 2092-4347,Barueri - SP,http://empreiteiracamargosilva.com.br/
16,Empreiteira de Mão-de-ObrasGiseli,(11) 3601-5545,Osasco - SP,Não tem
17,Empreiteira Camargo Silva,(11) 2092-4347,Barueri - SP,http://empreiteiracamargosilva.com.br/
18,Empreiteira Alves & Silva,,Osasco - SP,Não tem
19,C R Xavier Empreiteira de Obras,(11) 98432-2146,São Paulo - SP,http://empreiteiraxavier.blogspot.com/
20,Dpan Empreiteira,(11) 2364-4611,São Paulo - SP,http://empreiteiradpan.com.br/
21,Otofran Empreiteira,(11) 3928-2113,São Paulo - SP,Não tem
22,Empreiteira Camargo Silva,(11) 2092-4347,Barueri - SP,http://empreiteiracamargosilva.com.br/
23,Embrafort Empreiteira Brao Forte Sc,(11) 3943-2527,São Paulo - SP,Não tem
24,JAS Empreiteira,(11) 3921-2812,São Paulo - SP,http://jasempreiteira.com.br/
25,"MECA Empreiteira, Engenharia e Construção",(11) 4184-9977,Carapicuíba - SP,http://www.mecaestrutura.wix.com/meca
26,Sadajo Empreiteira,(11) 3483-6931,São Paulo - SP,Não tem
27,Paulo Barbosa de Lima Empreiteira de Construção Civil,,Barueri - SP,Não tem
28,Empreiteira Lopes & Gomes – Construções Eireli – EPP,(11) 94007-2316,Osasco - SP,http://lopesegomes.com.br/pagina-de-contato/
29,Empreiteira Rodrigues,(11) 97653-1212,Osasco - SP,https://danilodrivedr.wixsite.com/empreiteirarodrigues
30,Marcadrill Empreiteira,(11) 3599-4296,Osasco - SP,Não tem
31,JBM Empreiteira,(11) 94034-1712,Osasco - SP,http://www.instagram.com/jbmempreiteira
32,Empreiteira Análise,Aberto 24 horas,(11) 96736-8331,Não tem
33,G.M. Gesso,(11) 3418-1680,São Paulo - SP,Não tem
34,Empreiteira Casa Nova,(11) 99462-5088,São Paulo - SP,https://empreiteira-casa-nova.negocio.site/?utm_source=gmb&utm_medium=referral
35,Empreiteira Wl,,São Paulo - SP,Não tem
36,PREVENTIVA EMPREITEIRA,(11) 3479-0989,Osasco - SP,Não tem
37,Empék Empreiteira,(11) 3944-8686,São Paulo - SP,Não tem
38,JVS Empreiteira,(11) 3998-9416,São Paulo - SP,Não tem
39,EMPREITEIRA OBRADEC LTDA,(11) 2814-8669,Barueri - SP,http://empreiteiraobradec.com.br/
40,DS Empreiteira Arquitetura,(11) 3928-3273,São Paulo - SP,https://dsempreiteira.negocio.site/?utm_source=gmb&utm_medium=referral
41,Inova Empreiteira Construção Civil,(11) 3972-0350,São Paulo - SP,http://inovaempreiteira.com.br/
42,GC EMPREITEIRA,(11) 4191-8580,Barueri - SP,http://www.gcempreiteira.com.br/
43,MV8 empreiteira,Fechado ⋅ Abre ter. às 08:00,(11) 98892-4745,https://sites.google.com/view/site-mv8/home
44,Construtora Santos,(11) 3901-2626,São Paulo - SP,Não tem
45,"Inove Empreiteira, Reforma, Manutenção e Construção.",(11) 4624-4999,Osasco - SP,https://inoveempreiteira.negocio.site/?utm_source=gmb&utm_medium=referral
46,Empreiteira FM,(11) 3984-4315,São Paulo - SP,https://empreiteirafm.com.br/
47,Empreiteira Souza Júnior,(11) 99171-4120,São Paulo - SP,https://souzajuniorconstrucao.com.br/
48,Empreiteira Logus Construção Civil,(11) 3532-3962,São Paulo - SP,Não tem
49,Empreiteira JFS,(11) 94143-0880,Barueri - SP,http://www.empreiteirajfs.com.br/
50,Porto Empreiteira,(11) 3645-0021,São Paulo - SP,Não tem
51,GAMBALE EMPREITEIRA E ENGENHARIA,(11) 94753-8533,São Paulo - SP,http://gambale.com.br/
52,Sunryse Empreiteira Ltda. -,,São Paulo - SP,Não tem
53,JKA empreiteira,(11) 95415-0569,Carapicuíba - SP,Não tem
54,ELM Empreiteira e Construção,(11) 3447-5290,Osasco - SP,Não tem
55,Galvão Empreiteira,(11) 4156-5671,Santana de Parnaíba - SP,http://galvaoempreiteira.com.br/
56,Atos Empreiteira Reparação e Manutenção em Construções,(11) 2854-9521,São Paulo - SP,Não tem
57,Empreiteira A R M,,(11) 4161-1151,Não tem
58,Empreiteira Projetos,(11) 4183-1798,Carapicuíba - SP,http://www.empreiteiraprojetos.com.br/
59,LRM Consultoria Empreiteira,(11) 3682-8019,Osasco - SP,Não tem
60,Empreiteira Barros,(11) 2807-0335,São Paulo - SP,https://empreiteira-barros.negocio.site/?utm_source=gmb&utm_medium=referral
61,Empreiteira Lam,(11) 4182-2597,Carapicuíba - SP,http://empreiteiralam.com.br/
62,Villagi empreiteira Ltda me,Fechado ⋅ Abre ter. às 08:00,(11) 97735-6439,https://villagi-empreiteira-ltda-me.negocio.site/?utm_source=gmb&utm_medium=referral
63,Sousa Neto Empreiteira de Mão-de-Obra,(11) 3691-6988,Osasco - SP,Não tem
64,L A S de Oliveira Empreiteira,,(11) 2803-9635,Não tem
65,Aledil Empreiteira de Obras,(11) 4161-9337,Barueri - SP,Não tem
66,Carvalho Empreiteira,(11) 97049-9333,Barueri - SP,http://www.carvalhoempreiteira.com.br/
67,Empreiteira Anderson Silva,(11) 96402-5297,Santana de Parnaíba - SP,Não tem
