,nome/razao social,contato,localidade,site
0,MP Engenharia e GerenciamentoPor que esse anúncio?,(11) 95460-4746,São Paulo - SP,/aclk?sa=l&ai=DChcSEwjJiPzZ1PbsAhWJhJEKHSNTBVAYABABGgJjZQ&sig=AOD64_2t12zedsBmXNX4QSyM-wgeTbpGdg&rct=j&q=&ctype=99&ved=0ahUKEwjRnvTZ1PbsAhWCJ7kGHaVsCAgQhKwBCEs&adurl=
1,RCBK SOLUTIONSPor que esse anúncio?,(11) 97626-1216,São Paulo - SP,/aclk?sa=l&ai=DChcSEwjJiPzZ1PbsAhWJhJEKHSNTBVAYABAAGgJjZQ&sig=AOD64_364YhdPGAnL-mHfKL7xVRd_V_c8Q&rct=j&q=&ctype=99&ved=0ahUKEwjRnvTZ1PbsAhWCJ7kGHaVsCAgQhKwBCGI&adurl=
2,Goestech Engenharia e Construções,(11) 95407-3270,São Paulo - SP,https://goestech-engenharia-e-construcoes.negocio.site/
3,INOGREEN ENGENHARIA E CONSTRUÇÃO,(11) 97657-5917,São Paulo - SP,http://inogreen.com.br/
4,Artefatos,94032-0751,São Paulo - SP,http://ayrtonrepresentacoes.com.br/
5,Neterket Engenharia Civil,(11) 96782-0032,São Paulo - SP,http://neterket.com.br/
6,Tani Obras De Engenharia,,São Paulo - SP,Não tem
7,WBorsari Engenharia - Engenharia Civil e Segurança do Trabalho,(11) 97350-5090,São Paulo - SP,https://wborsariengenharia.multiscreensite.com/
8,BENKORF Engenharia Civil,(11) 4384-9738,Osasco - SP,Não tem
9,Figueredo Engenharia,(11) 98848-0172,Barueri - SP,https://figueredoengenharia.negocio.site/?utm_source=gmb&utm_medium=referral
10,Reiel Engenharia e Projetos Elétricos,(11) 3906-7080,São Paulo - SP,Não tem
11,Engenharia Elohim,(11) 96488-2072,Cajamar - SP,http://engenhariaelohim.com.br/
12,Pas Engenharia e Construção Civil,(11) 3602-5350,Osasco - SP,Não tem
13,Creativo Engenharia,(11) 96787-0180,Osasco - SP,Não tem
14,Zen Engenharia. Projetos e Estruturas Metálicas.,(11) 99466-6739,São Paulo - SP,https://zenengenharia.negocio.site/?utm_source=gmb&utm_medium=referral
15,Oliveira Prado Engenharia Civil,(11) 96435-4061,Cajamar - SP,Não tem
16,Engenheiro civil,(11) 2321-2948,Barueri - SP,http://www.seguimentos.com.br/
17,"Engenharia, construção e reformas",(11) 3697-2108,Osasco - SP,http://impactoinox.com.br/
18,Souza Lima Engenharia,(11) 3915-6413,São Paulo - SP,http://www.souzalimaengenharia.com.br/
19,Saneterra Engenharia Civil,(11) 3871-1306,São Paulo - SP,http://www.saneterra.com.br/
20,Tani Obras de Engenharia,(11) 3916-1111,São Paulo - SP,Não tem
21,MP Engenharia e Gerenciamento,(11) 95460-4746,São Paulo - SP,http://www.mpengenhariaegerenciamento.com.br/
22,Adeir Alves Engenharia Projetos e Constr. Ltda.,(11) 98854-9575,SP,Não tem
23,AWG Construção Civil,(11) 4195-0763,Barueri - SP,Não tem
24,RBN Engenharia Civil Comércio,(11) 4448-2400,Cajamar - SP,Não tem
25,CBD Engenharia,(11) 2193-3526,São Paulo - SP,http://cbdengenharia.com.br/
26,3tsm Engenharia e Projetos Ltda,(11) 98038-7682,Osasco - SP,Não tem
27,CR Engenharia & Construção,(11) 97013-6853,Osasco - SP,Não tem
28,Salles Engenharia,(11) 97720-8906,São Paulo - SP,http://www.sallesengenharia.com.br/
29,Josaphat Engenharia,(11) 4152-2959,Santana de Parnaíba - SP,Não tem
30,TREFFORT ENGENHARIA LTDA.,(11) 4191-8669,Barueri - SP,http://www.treffort.com.br/
31,CLCB EM OSASCO - ENGENHARIA HUMAYTA,Fechado ⋅ Abre ter. às 09:00,(11) 95107-7613,http://www.diegohumayta.com.br/
32,Obra+ Engenharia & Planejamento,(11) 94469-2433,São Paulo - SP,https://www.obramaisengenhariaeplanejamento.com.br/
33,Geofran Engenharia,(11) 4247-7695,Barueri - SP,http://www.geofranengenharia.com.br/
34,R3L engenharia civil,(11) 3998-8138,São Paulo - SP,http://www.engpericias.com.br/
35,Ortometria Engenharia,(11) 4168-1176,Osasco - SP,http://ortometriaengenharia.com.br/
36,Cagisa Engenharia,(11) 4688-0828,Barueri - SP,Não tem
37,Grito Forte Engenharia E Regularização,(11) 2339-9896,São Paulo - SP,http://www.gritoforte.com.br/
38,JL Engenharia e Construcoes,(11) 4448-5331,Cajamar - SP,http://www.jlengenhariaeconstrucoes.com.br/
39,OMECC Engenharia Soluções em Energia Solar,(11) 96973-2826,Osasco - SP,https://www.facebook.com/OMECCENGENHARIA/
40,Maza Engenharia e Projetos,(11) 4605-4578,Caieiras - SP,Não tem
41,Liras Arquitetos e Engenheiros Associados,(11) 4374-1257,Carapicuíba - SP,Não tem
